"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ensures that signup with an invalid email format returns HTTP 400 with an email validation error.","24","Verify signup fails for invalid email format.","MySuite","Mon Aug 18 08:55:45 UTC 2025","passed","Mon Aug 18 08:55:45 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithInvalidEmailFormat"
"This test checks if the 'status' key is present in the JSON response.","153","Verify /health JSON contains 'status' key","MySuite","Mon Aug 18 08:55:43 UTC 2025","passed","Mon Aug 18 08:55:43 UTC 2025","com.pacakge.rest_assured_framework.HealthCheckAPI","Integration","com.pacakge.rest_assured_framework.HealthCheckAPI","shouldContainStatusKey"
"Ensures that SQL injection strings in the password field are blocked and return HTTP 400 or appropriate error.","272","Verify login fails when SQL injection is attempted in the password field.","MySuite","Mon Aug 18 08:55:47 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithSqlInjectionInPassword"
"Verify fetching book with an invalid ID returns 404","10","shouldReturnNotFoundForInvalidId","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetBookByIdApi","Integration","com.pacakge.rest_assured_framework.GetBookByIdApi","shouldReturnNotFoundForInvalidId"
"Verify fetching book with a non-numeric ID returns 400","9","shouldReturnBadRequestForNonNumericId","MySuite","Mon Aug 18 08:55:48 UTC 2025","failed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetBookByIdApi","Integration","com.pacakge.rest_assured_framework.GetBookByIdApi","shouldReturnBadRequestForNonNumericId"
"Checks that signup with an email containing spaces returns HTTP 400 with an email validation error.","24","Verify signup fails when email contains spaces.","MySuite","Mon Aug 18 08:55:46 UTC 2025","passed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithEmailContainingSpaces"
"Validates that providing an empty password during signup returns HTTP 400 with 'required' field message.","301","Verify signup fails when password is empty.","MySuite","Mon Aug 18 08:55:45 UTC 2025","failed","Mon Aug 18 08:55:45 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithEmptyPassword"
"This test checks if the 'status' value returned by /health is 'up'.","577","Verify status value is 'up'","MySuite","Mon Aug 18 08:55:43 UTC 2025","passed","Mon Aug 18 08:55:43 UTC 2025","com.pacakge.rest_assured_framework.HealthCheckAPI","Integration","com.pacakge.rest_assured_framework.HealthCheckAPI","shouldReturnStatusValueUp"
"Ensures that attempting to sign up with an already registered email returns HTTP 400 with 'Email already registered' message.","307","Verify signup fails for an already registered email.","MySuite","Mon Aug 18 08:55:44 UTC 2025","passed","Mon Aug 18 08:55:45 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithExistingEmail"
"This test checks if an invalid health endpoint returns HTTP status 404.","11","Verify GET /healthz returns 404","MySuite","Mon Aug 18 08:55:44 UTC 2025","passed","Mon Aug 18 08:55:44 UTC 2025","com.pacakge.rest_assured_framework.HealthCheckAPI","Integration","com.pacakge.rest_assured_framework.HealthCheckAPI","shouldReturn404ForInvalidEndpoint"
"Checks that missing 'email' field in the request body returns HTTP 400 or validation error.","8","Verify login fails when email field is missing from payload.","MySuite","Mon Aug 18 08:55:47 UTC 2025","passed","Mon Aug 18 08:55:47 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithMissingEmailField"
"Checks that missing 'password' field in the request body returns HTTP 400 or validation error.","8","Verify login fails when password field is missing from payload.","MySuite","Mon Aug 18 08:55:47 UTC 2025","passed","Mon Aug 18 08:55:47 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithMissingPasswordField"
"Checks that signup succeeds with a valid email and a complex password containing uppercase, lowercase, numbers, and special characters.","311","Verify signup works with a complex password containing special characters.","MySuite","Mon Aug 18 08:55:44 UTC 2025","passed","Mon Aug 18 08:55:44 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithComplexPassword"
"Verify that updating a book without token returns 401","8","shouldFailWithoutToken","MySuite","Mon Aug 18 08:55:48 UTC 2025","failed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.UpdateBookApi","Integration","com.pacakge.rest_assured_framework.UpdateBookApi","shouldFailWithoutToken"
"Verify that accessing the Get All Books API without a token returns 403 Forbidden","10","shouldFailWithoutAuthToken","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetAllBooksApi","Integration","com.pacakge.rest_assured_framework.GetAllBooksApi","shouldFailWithoutAuthToken"
"Verify book creation fails with invalid 'published_year'","15","shouldFailWithInvalidPublishedYear","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.CreateBookApi","Integration","com.pacakge.rest_assured_framework.CreateBookApi","shouldFailWithInvalidPublishedYear"
"Verify deleting a book with a non-existent ID fails","9","shouldFailWithInvalidBookId","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.DeleteBookApi","Integration","com.pacakge.rest_assured_framework.DeleteBookApi","shouldFailWithInvalidBookId"
"Ensures that empty email and password fields return HTTP 400 or validation error.","271","Verify login fails when both email and password fields are blank.","MySuite","Mon Aug 18 08:55:47 UTC 2025","passed","Mon Aug 18 08:55:47 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithBlankFields"
"Validates that providing a unique email and valid password returns HTTP 200 with 'user created successfully'.","368","Verify that a new user can successfully sign up with valid email and password.","MySuite","Mon Aug 18 08:55:44 UTC 2025","passed","Mon Aug 18 08:55:44 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupSuccess"
"Verify book creation fails when required field 'name' is missing","12","shouldFailWhenNameIsMissing","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.CreateBookApi","Integration","com.pacakge.rest_assured_framework.CreateBookApi","shouldFailWhenNameIsMissing"
"Verify 404 Not Found for invalid endpoint","9","shouldReturn404ForInvalidEndpoint","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetAllBooksApi","Integration","com.pacakge.rest_assured_framework.GetAllBooksApi","shouldReturn404ForInvalidEndpoint"
"Verify deleting a book without authorization fails","8","shouldFailWithoutAuthToken","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.DeleteBookApi","Integration","com.pacakge.rest_assured_framework.DeleteBookApi","shouldFailWithoutAuthToken"
"Checks that an empty email field returns HTTP 400 or validation error.","274","Verify login fails when email field is blank.","MySuite","Mon Aug 18 08:55:46 UTC 2025","failed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithBlankEmail"
"Ensures that signup request without a password returns HTTP 400 with 'required' field message.","21","Verify signup fails when password is null.","MySuite","Mon Aug 18 08:55:45 UTC 2025","failed","Mon Aug 18 08:55:45 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithNullPassword"
"Ensures that signup with an excessively long email returns HTTP 400 with an email validation error.","21","Verify signup fails when email exceeds maximum allowed length.","MySuite","Mon Aug 18 08:55:46 UTC 2025","passed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithVeryLongEmail"
"Ensures that valid email but wrong password returns HTTP 400 or appropriate authentication error.","272","Verify login fails with incorrect password.","MySuite","Mon Aug 18 08:55:46 UTC 2025","passed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithInvalidPassword"
"Ensures that signup without the password field returns HTTP 400 with 'required' field message.","19","Verify signup fails when password is missing.","MySuite","Mon Aug 18 08:55:46 UTC 2025","failed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithoutPassword"
"Checks that sending improperly formatted JSON in the request body returns HTTP 400 or parsing error.","8","Verify login fails when request JSON is malformed.","MySuite","Mon Aug 18 08:55:47 UTC 2025","passed","Mon Aug 18 08:55:47 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithMalformedJson"
"This test checks if POST requests to /health are not allowed (405).","46","Verify POST on /health returns 405","MySuite","Mon Aug 18 08:55:43 UTC 2025","passed","Mon Aug 18 08:55:44 UTC 2025","com.pacakge.rest_assured_framework.HealthCheckAPI","Integration","com.pacakge.rest_assured_framework.HealthCheckAPI","shouldNotAllowPostMethod"
"Checks that an empty password field returns HTTP 400 or validation error.","278","Verify login fails when password field is blank.","MySuite","Mon Aug 18 08:55:46 UTC 2025","passed","Mon Aug 18 08:55:47 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithBlankPassword"
"Validates that sending an empty request body returns HTTP 400 with 'Input payload validation failed'.","23","Verify signup fails with an empty request payload.","MySuite","Mon Aug 18 08:55:45 UTC 2025","failed","Mon Aug 18 08:55:45 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithEmptyPayload"
"Checks that using an email not present in the system returns HTTP 400 or appropriate error code.","12","Verify login fails with an unregistered email.","MySuite","Mon Aug 18 08:55:46 UTC 2025","passed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithInvalidEmail"
"Verify that a book can be created with valid data","32","shouldCreateBookSuccessfully","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.CreateBookApi","Integration","com.pacakge.rest_assured_framework.CreateBookApi","shouldCreateBookSuccessfully"
"This test checks if the /health endpoint returns HTTP status 200.","1065","Verify GET /health returns 200","MySuite","Mon Aug 18 08:55:42 UTC 2025","passed","Mon Aug 18 08:55:43 UTC 2025","com.pacakge.rest_assured_framework.HealthCheckAPI","Integration","com.pacakge.rest_assured_framework.HealthCheckAPI","shouldReturnStatus200"
"Verify that updating a book with invalid ID returns 404","10","shouldFailForInvalidBookId","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.UpdateBookApi","Integration","com.pacakge.rest_assured_framework.UpdateBookApi","shouldFailForInvalidBookId"
"Verify that a book can be fetched successfully by valid ID","64","shouldGetBookByIdSuccessfully","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetBookByIdApi","Integration","com.pacakge.rest_assured_framework.GetBookByIdApi","shouldGetBookByIdSuccessfully"
"Verify that updating a book with invalid token returns 401","7","shouldFailWithInvalidToken","MySuite","Mon Aug 18 08:55:48 UTC 2025","failed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.UpdateBookApi","Integration","com.pacakge.rest_assured_framework.UpdateBookApi","shouldFailWithInvalidToken"
"Verify that a book can be updated successfully with valid data","12","shouldUpdateBookSuccessfully","MySuite","Mon Aug 18 08:55:48 UTC 2025","failed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.UpdateBookApi","Integration","com.pacakge.rest_assured_framework.UpdateBookApi","shouldUpdateBookSuccessfully"
"Verify that accessing the Get All Books API with an invalid token returns 403 Forbidden","8","shouldFailWithInvalidToken","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetAllBooksApi","Integration","com.pacakge.rest_assured_framework.GetAllBooksApi","shouldFailWithInvalidToken"
"Validates that adding an extra field like 'role' in the payload either ignores it and logs in or returns a validation error.","271","Verify login behavior when an unexpected extra field is sent.","MySuite","Mon Aug 18 08:55:47 UTC 2025","passed","Mon Aug 18 08:55:47 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithExtraField"
"Verify structure of each book object returned by the API","98","shouldHaveExpectedFieldsInBooks","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetAllBooksApi","Integration","com.pacakge.rest_assured_framework.GetAllBooksApi","shouldHaveExpectedFieldsInBooks"
"Verify book creation fails with duplicate 'id'","25","shouldFailWithDuplicateId","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.CreateBookApi","Integration","com.pacakge.rest_assured_framework.CreateBookApi","shouldFailWithDuplicateId"
"Ensures that signup without the email field returns HTTP 400 with 'required' field message.","295","Verify signup fails when email is missing.","MySuite","Mon Aug 18 08:55:45 UTC 2025","failed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithoutEmail"
"Verify fetching book without token returns 401","42","shouldReturnUnauthorizedWhenTokenIsMissing","MySuite","Mon Aug 18 08:55:48 UTC 2025","failed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetBookByIdApi","Integration","com.pacakge.rest_assured_framework.GetBookByIdApi","shouldReturnUnauthorizedWhenTokenIsMissing"
"Checks that submitting signup request with an empty email returns HTTP 400 with an email validation error.","25","Verify signup fails when email is empty.","MySuite","Mon Aug 18 08:55:45 UTC 2025","passed","Mon Aug 18 08:55:45 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithEmptyEmail"
"Ensures that valid email and password credentials return HTTP 200 and an access token in the response.","286","Verify login succeeds with valid credentials.","MySuite","Mon Aug 18 08:55:46 UTC 2025","passed","Mon Aug 18 08:55:46 UTC 2025","com.pacakge.rest_assured_framework.LoginApi","Integration","com.pacakge.rest_assured_framework.LoginApi","loginWithValidCredentials"
"Checks that signup with a password shorter than the minimum allowed length returns HTTP 400 with 'password is too short'.","281","Verify signup fails when password is shorter than required length.","MySuite","Mon Aug 18 08:55:45 UTC 2025","failed","Mon Aug 18 08:55:45 UTC 2025","com.pacakge.rest_assured_framework.SignUpAPI","Integration","com.pacakge.rest_assured_framework.SignUpAPI","testSignupWithShortPassword"
"Verify that a book can be deleted with a valid ID","23","shouldDeleteBookSuccessfully","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.DeleteBookApi","Integration","com.pacakge.rest_assured_framework.DeleteBookApi","shouldDeleteBookSuccessfully"
"Verify that the Get All Books API returns a valid list of books","312","shouldReturnAllBooksSuccessfully","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.GetAllBooksApi","Integration","com.pacakge.rest_assured_framework.GetAllBooksApi","shouldReturnAllBooksSuccessfully"
"Verify book creation fails with empty payload","12","shouldFailWithEmptyPayload","MySuite","Mon Aug 18 08:55:48 UTC 2025","passed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.CreateBookApi","Integration","com.pacakge.rest_assured_framework.CreateBookApi","shouldFailWithEmptyPayload"
"Verify that updating a book without required field returns 400","10","shouldFailWhenRequiredFieldMissing","MySuite","Mon Aug 18 08:55:48 UTC 2025","failed","Mon Aug 18 08:55:48 UTC 2025","com.pacakge.rest_assured_framework.UpdateBookApi","Integration","com.pacakge.rest_assured_framework.UpdateBookApi","shouldFailWhenRequiredFieldMissing"
